vehiclecount,updatetime,_id,garagecode,streamtime,totalspaces
0,09:04.1,1,NORREPORT,03-11-2014 16:18,65
0,09:04.1,2,SKOLEBAKKEN,03-11-2014 16:18,512
869,09:04.1,3,SCANDCENTER,03-11-2014 16:18,1240
22,09:04.1,4,BRUUNS,03-11-2014 16:18,953
124,09:04.1,5,BUSGADEHUSET,03-11-2014 16:18,130
106,09:04.1,6,MAGASIN,03-11-2014 16:18,400
115,09:04.1,7,KALKVAERKSVEJ,03-11-2014 16:18,210
233,09:04.1,8,SALLING,03-11-2014 16:18,700
0,39:01.8,9,NORREPORT,03-11-2014 16:18,65
0,39:01.8,10,SKOLEBAKKEN,03-11-2014 16:18,512
959,39:01.8,11,SCANDCENTER,03-11-2014 16:18,1240
22,39:01.8,12,BRUUNS,03-11-2014 16:18,953
124,39:01.8,13,BUSGADEHUSET,03-11-2014 16:18,130
119,39:01.8,14,MAGASIN,03-11-2014 16:18,400
121,39:01.8,15,KALKVAERKSVEJ,03-11-2014 16:18,210
282,39:01.8,16,SALLING,03-11-2014 16:18,700
0,10:51.5,17,NORREPORT,03-11-2014 16:18,65
0,10:51.5,18,SKOLEBAKKEN,03-11-2014 16:18,512
1014,10:51.5,19,SCANDCENTER,03-11-2014 16:18,1240
22,10:51.5,20,BRUUNS,03-11-2014 16:18,953
125,10:51.5,21,BUSGADEHUSET,03-11-2014 16:18,130
151,10:51.5,22,MAGASIN,03-11-2014 16:18,400
125,10:51.5,23,KALKVAERKSVEJ,03-11-2014 16:18,210
369,10:51.5,24,SALLING,03-11-2014 16:18,700
22,40:24.7,28,BRUUNS,03-11-2014 16:18,953
0,40:24.7,25,NORREPORT,03-11-2014 16:18,65
0,40:24.7,26,SKOLEBAKKEN,03-11-2014 16:18,512
1045,40:24.7,27,SCANDCENTER,03-11-2014 16:18,1240
144,40:24.7,29,BUSGADEHUSET,03-11-2014 16:18,130
187,40:24.7,30,MAGASIN,03-11-2014 16:18,400
129,40:24.7,31,KALKVAERKSVEJ,03-11-2014 16:18,210
447,40:24.7,32,SALLING,03-11-2014 16:18,700
0,01:18.0,33,NORREPORT,03-11-2014 16:18,65
0,01:18.0,34,SKOLEBAKKEN,03-11-2014 16:18,512
413,01:18.0,35,SCANDCENTER,03-11-2014 16:18,1240
22,01:18.0,36,BRUUNS,03-11-2014 16:18,953
165,01:18.0,37,BUSGADEHUSET,03-11-2014 16:18,130
206,01:18.0,38,MAGASIN,03-11-2014 16:18,400
63,01:18.0,39,KALKVAERKSVEJ,03-11-2014 16:18,210
252,01:18.0,40,SALLING,03-11-2014 16:18,700
0,31:22.3,41,NORREPORT,03-11-2014 16:18,65
0,31:22.3,42,SKOLEBAKKEN,03-11-2014 16:18,512
360,31:22.3,43,SCANDCENTER,03-11-2014 16:18,1240
22,31:22.3,44,BRUUNS,03-11-2014 16:18,953
154,31:22.3,45,BUSGADEHUSET,03-11-2014 16:18,130
192,31:22.3,46,MAGASIN,03-11-2014 16:18,400
62,31:22.3,47,KALKVAERKSVEJ,03-11-2014 16:18,210
204,31:22.3,48,SALLING,03-11-2014 16:18,700
0,19:52.1,49,NORREPORT,03-11-2014 16:18,65
0,19:52.1,50,SKOLEBAKKEN,03-11-2014 16:18,512
332,19:52.1,51,SCANDCENTER,03-11-2014 16:18,1240
22,19:52.1,52,BRUUNS,03-11-2014 16:18,953
167,19:52.1,53,BUSGADEHUSET,03-11-2014 16:18,130
162,19:52.1,54,MAGASIN,03-11-2014 16:18,400
60,19:52.1,55,KALKVAERKSVEJ,03-11-2014 16:18,210
180,19:52.1,56,SALLING,03-11-2014 16:18,700
0,49:54.0,57,NORREPORT,03-11-2014 16:18,65
0,49:54.0,58,SKOLEBAKKEN,03-11-2014 16:18,512
321,49:54.0,59,SCANDCENTER,03-11-2014 16:18,1240
